word,pos,level,desc
"a (NOT PARTICULAR)","determiner","A1","used before a noun to refer to a single thing or person but not a particular thing or person or not one that you have referred to before"
"a (ANY/EVERY)","determiner","A1","used to mean any or every thing or person of the type you are referring to"
"a (ONE)","determiner","A1","one"
"a (TYPE)","determiner","A1","used to state what type of thing or person something or someone is"
"a (AMOUNTS)","determiner","A2","used before some phrases saying how much of something there is"
"a (AN ACTION)","determiner","A2","used before some action nouns when referring to one example of the action"
"a (TWO NOUNS)","determiner","A2","used before the first but not the second of two nouns that are often used together"
"a (UNIT)","determiner","A2","used when referring to a unit of something, especially something you eat or drink"
"a (WITH FRACTION)","determiner","A2","used between a fraction and a unit of measurement"
"a (PERIOD OF TIME)","determiner","A2","used when referring to a certain period of time"
"abandon (LEAVE)","verb","B2","to leave someone or something somewhere, sometimes not returning to get them"
"abandon (STOP DOING)","verb","C1","to stop doing something before it is finished, or to stop following a plan, idea, etc."
"abandoned (EMPTY)","adjective","B2","left empty or not working"
"abandoned (LEFT SOMEWHERE)","adjective","B2","having been left somewhere, intentionally"
"ability","noun","B1","the physical or mental skill or qualities that you need to do something"
"be able to do sth","adjective","A2","to have the ability to do something or the possibility of doing something"
"able","adjective","C2","clever or good at doing something"
"abnormal","adjective","C1","different from what is normal or usual, in a way which is strange or dangerous"
"aboard","adverb","C1","on or onto a plane, ship, bus, or train"
"abolish","verb","B2","to officially end something, especially a law or system"
"abortion","noun","C1","a medical operation to end a pregnancy when the baby is still too small to live"
"about","preposition","A1","relating to a particular subject or person"
"How/What about ...? (SUGGESTION)","preposition","A2","used when suggesting or offering something to someone"
"How/What about ...?","preposition","B1","used to ask for someone's opinion on a particular subject"
"about","adverb","A1","a little more or less than the stated number or amount"
"about (DIRECTION)","adverb","B2","to or in different parts of a place, often without purpose or order"
"be (just) about to do sth","adjective","B1","to be going to do something very soon"
"above (HIGHER POSITION)","adverb","A1","in or to a higher position than something else"
"above (MORE)","adverb","A2","more than an amount or level"
"above all","adverb","B1","most importantly"
"above (TOO IMPORTANT)","adverb","C2","too good or important for something"
"above","adverb","B1","higher on the page"
"abroad","adverb","B1","in or to a foreign country"
"abrupt (SUDDEN)","adjective","C2","sudden and not expected"
"abrupt (RUDE)","adjective","C2","dealing with people in a quick way that is unfriendly or rude"
"abruptly","adverb","C2","suddenly and quickly"
"absence (NOT PRESENT)","noun","B2","when someone is not where they are usually expected to be"
"absence (NOT EXISTING)","noun","B2","when something does not exist"
"absent","adjective","B1","not in the place where you are expected to be, especially at school or work"
"absolute","adjective","B2","complete and definite"
"absolutely","adverb","B1","completely"
"Absolutely!","adverb","C1","used to strongly agree with someone"
"Absolutely not.","adverb","C2","used to strongly disagree with someone or to agree with something negative"
"absorb (TAKE IN)","verb","B2","to take something in, especially gradually"
"be absorbed in sth","verb","B2","to give all your attention to something that you are doing"
